SourceRefId;SourceID;RefId
9016602100;90166;02100
9016700173;90167;00173
9016705142;90167;05142
9016800173;90168;00173
9016805189;90168;05189
9016900173;90169;00173
9016905190;90169;05190
9017200175;90172;00175
9017205191;90172;05191
9017300175;90173;00175
9017305256;90173;05256
9017305286;90173;05286
9017500176;90175;00176
9017500403;90175;00403
9017600176;90176;00176
9017600403;90176;00403
9017605199;90176;05199
9017800177;90178;00177
9017800403;90178;00403
9018100182;90181;00182
9018105238;90181;05238
9018400193;90184;00193
9018405179;90184;05179
9018600197;90186;00197
9018605180;90186;05180
9018800198;90188;00198
9018800403;90188;00403
9019000199;90190;00199
9019005174;90190;05174
9019100199;90191;00199
9019105178;90191;05178
9019300213;90193;00213
9019305148;90193;05148
9019600163;90196;00163
9019600221;90196;00221
9019605181;90196;05181
9019700221;90197;00221
9019705158;90197;05158
9019705181;90197;05181
9019800221;90198;00221
9019805160;90198;05160
9019805181;90198;05181
9019900221;90199;00221
9019905179;90199;05179
9019905181;90199;05181
9020000221;90200;00221
9020005181;90200;05181
9020200222;90202;00222
9020200404;90202;00404
9020300222;90203;00222
9020305143;90203;05143
9020305180;90203;05180
9020400222;90204;00222
9020405158;90204;05158
9020405172;90204;05172
9020500222;90205;00222
9020505158;90205;05158
9020505180;90205;05180
9020600222;90206;00222
9020605159;90206;05159
9020605180;90206;05180
9020700222;90207;00222
9020705172;90207;05172
9020800222;90208;00222
9020805172;90208;05172
9020805180;90208;05180
9020900222;90209;00222
9020905180;90209;05180
9021100223;90211;00223
9021105165;90211;05165
9021400262;90214;00262
9022200328;90222;00328
9022200404;90222;00404
9022400329;90224;00329
9022400348;90224;00348
9022700331;90227;00331
9022700348;90227;00348
9023000333;90230;00333
9023000348;90230;00348
9023100333;90231;00333
9023100348;90231;00348
9023105158;90231;05158
9023200333;90232;00333
9023205158;90232;05158
9023600161;90236;00161
9023600348;90236;00348
9023605184;90236;05184
9023700333;90237;00333
9023700348;90237;00348
9023800348;90238;00348
9023805158;90238;05158
9023805184;90238;05184
9023900348;90239;00348
9023905184;90239;05184
9024900403;90249;00403
9024902016;90249;02016
9024905199;90249;05199
9025000403;90250;00403
9025005148;90250;05148
9025100403;90251;00403
9025105148;90251;05148
9025105182;90251;05182
9025200403;90252;00403
9025205182;90252;05182
9025300403;90253;00403
9025305182;90253;05182
9025305199;90253;05199
9025400403;90254;00403
9025405199;90254;05199
9025600404;90256;00404
9025605237;90256;05237
9025800407;90258;00407
9025802000;90258;02000
9025900407;90259;00407
